,Restaurant Name,City,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes
87,Pearly's Famous Country Cookng,Albany,-84.1759,31.5882,Unknown,0,0,0,0,1,3.4,36
88,Chick-fil-A,Albany,-84.2193,31.616,Fast Food,10,0,0,0,1,3.5,67
89,Guang Zhou Chinese Restaurant,Albany,-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",10,0,0,0,1,3.9,141
90,Harvest Moon,Albany,-84.205718,31.604905,"Pizza, Bar Food, Sandwich",25,0,0,0,2,3.7,147
91,Henry Campbell's Steakhouse,Albany,-84.223278,31.612121,"Steak, Tapas, Bar Food",70,0,0,0,4,3.5,51
92,Hong Kong Cafe,Albany,-84.2191,31.6156,"Chinese, Seafood, Vegetarian",25,0,0,0,2,3.6,88
93,House of China Restaurant II,Albany,-84.212,31.6104,Chinese,10,0,0,0,1,3.8,153
94,Jimmie's Hot Dogs,Albany,-84.1534,31.5751,Unknown,10,0,0,0,1,3.9,160
95,Locos Grill & Pub,Albany,-84.2228,31.6077,"American, Burger, Sandwich",25,0,0,0,2,3.5,57
96,Longhorn Steakhouse,Albany,-84.2229,31.6185,"American, Steak",25,0,0,0,2,3.5,58
97,Mikata Japanese Steakhouse,Albany,-84.2164,31.6137,"Japanese, Steak, Sushi",40,0,0,0,3,3.6,115
98,Shogun Japanese Steak House,Albany,-84.2233,31.6118,"Japanese, Steak, Sushi",40,0,0,0,3,3.5,51
99,The Catch Seafood Room & Oyster Bar,Albany,-84.205025,31.605882,"Seafood, Tapas, Bar Food",40,0,0,0,3,3.8,250
100,Villa Gargano,Albany,-84.1757,31.5985,"Italian, Pizza",10,0,0,0,1,3.7,117
101,3 Squares Diner,Albany,-83.8389,31.5308,"American, Breakfast, Diner",10,0,0,0,1,3.4,20
102,Whitebull Hotel,Armidale,151.6688792,-30.5147169,"Bar Food, Steak",20,0,0,0,2,3.5,25
103,Last Resort Grill,Athens,-83.378273,33.957999,"American, Southern, Southwestern",40,0,0,0,3,4.5,1821
104,Mama's Boy Restaurant,Athens,-83.3654,33.9535,Southern,10,0,0,0,1,4.5,849
105,Sr. Sol 1,Athens,-83.4293,33.9652,Mexican,10,0,0,0,1,4.6,917
106,Choo Choo Eastside,Athens,-83.3389,33.9259,"Japanese, Korean",10,0,0,0,1,3.9,439
107,The Grill,Athens,-83.375523,33.958198,"Breakfast, Burger, Sandwich",10,0,0,0,1,3.7,289
108,Big City Bread Cafe,Athens,-83.384004,33.959392,"Breakfast, Sandwich",10,0,0,0,1,4.3,558
109,Clocked,Athens,-83.3797,33.9584,"American, Burger, Sandwich",10,0,0,0,1,4.2,613
110,DePalma's Italian Cafe - Downtown,Athens,-83.373596,33.958112,"American, Italian, Pizza",25,0,0,0,2,4.0,353
111,DePalma's Italian Cafe - East Side,Athens,-83.33995,33.924275,"American, Italian, Pizza",25,0,0,0,2,4.1,387
112,Five & Ten,Athens,-83.3872482,33.9415545,American,40,0,0,0,3,4.3,755
113,Grit,Athens,-83.381625,33.960112,"International, Southern, Vegetarian",10,0,0,0,1,4.2,800
114,Ike & Jane,Athens,-83.400887,33.963296,Sandwich,10,0,0,0,1,4.1,350
115,La Dolce Vita Ristorante,Athens,-83.4075,33.9584,Italian,40,0,0,0,3,4.1,464
116,Shokitini,Athens,-83.379251,33.957503,"Asian, Japanese, Sushi",25,0,0,0,2,4.2,550
117,Taqueria Del Sol,Athens,-83.383605,33.960571,"Mexican, Spanish",10,0,0,0,1,4.1,543
118,The National,Athens,-83.37967,33.959468,"International, Southern",40,0,0,0,3,4.1,465
119,The Royal Peasant,Athens,-83.38728,33.937502,Bar Food,10,0,0,0,1,4.4,546
120,Transmetropolitan,Athens,-83.3764,33.9584,"Italian, Pizza, Sandwich",10,0,0,0,1,4.4,1098
121,Trappeze Pub,Athens,-83.378881,33.958363,"Burger, Bar Food",25,0,0,0,2,4.2,579
122,Viva! Argentine Cuisine,Athens,-83.3828224,33.9600227,"Desserts, Latin American, Argentine",10,0,0,0,1,4.1,374
123,Miyabi Kyoto Japanese Steak House,Augusta,-82.0865,33.4721,"Chinese, Steak",40,0,0,0,3,4.6,717
124,Rae's Coastal Cafe,Augusta,-82.0698,33.4791,"American, Caribbean, Seafood",40,0,0,0,3,4.9,548
125,The Bee's Knees,Augusta,-81.97,33.4765,"International, Tapas, Vegetarian",25,0,0,0,2,4.5,631
126,Boll Weevil Cafe,Augusta,-81.9684,33.474,"Desserts, Sandwich, Southern",10,0,0,0,1,3.9,372
127,Farmhaus Burger,Augusta,-81.973006,33.477444,"American, Burger",25,0,0,0,2,3.9,201
128,Manuel's Bread Cafe,Augusta,-81.965571,33.481779,"Breakfast, French",40,0,0,0,3,3.8,332
129,Sconyers Bar B Que,Augusta,-82.0327,33.4086,BBQ,25,0,0,0,2,3.5,304
130,Frog Hollow Tavern,Augusta,-81.974944,33.478231,American,40,0,0,0,3,4.3,368
131,Giuseppe's Pizza & Italian Specialities,Augusta,-82.096,33.4827,"Desserts, Italian, Pizza",25,0,0,0,2,4.1,430
132,Mellow Mushroom,Augusta,-81.9721,33.4778,"Italian, Pizza, Sandwich",25,0,0,0,2,4.4,433
133,Nacho Mamas Burritos,Augusta,-81.9694,33.4764,Mexican,10,0,0,0,1,4.0,380
134,Rhinehart's Oyster Bar,Augusta,-82.0505,33.5133,"Bar Food, Sandwich, Seafood",25,0,0,0,2,4.0,456
135,Takosushi,Augusta,-82.0301,33.4848,"Mexican, Southwestern, Sushi",40,0,0,0,3,4.2,647
136,The Chop House,Augusta,-82.080788,33.467201,Steak,40,0,0,0,3,4.0,360
137,The Taj of India,Augusta,-82.0805493,33.5375868,Indian,25,0,0,0,2,4.0,227
138,Augsburg Haus,Augusta,-82.143793,33.544342,German,25,0,0,0,2,3.9,290
139,Pho Bac,Augusta,-82.126161,33.532249,Vietnamese,10,0,0,0,1,4.1,270
140,Rhinehart's Oyster Bar,Augusta,-82.141284,33.521291,"Burger, Seafood",25,0,0,0,2,4.0,326
141,Thai Kitchen,Augusta,-82.1328,33.5406,Thai,35,0,0,0,3,4.3,317
142,El Kiosco Mexican Restaurant,Augusta,-82.1997,33.4574,Mexican,10,0,0,0,1,4.2,300
143,Taste of Balingup,Balingup,115.9844924,-33.7845269,Modern Australian,20,0,0,0,2,3.2,21
144,Bridge Road Brewers,Beechworth,146.685852,-36.360439,"Pizza, Bar Food",20,0,0,0,2,4.6,237
145,Bardenay,Boise,-116.2019,43.6138,"American, Bar Food",25,0,0,0,2,4.5,879
146,Flatbread Neapolitan Pizzeria,Boise,-116.203466,43.616068,"Italian, Pizza",25,0,0,0,2,4.6,615
147,Goldy's Breakfast Bistro,Boise,-116.2023,43.6149,"Breakfast, Sandwich",25,0,0,0,2,4.5,879
148,Chandlers Steakhouse,Boise,-116.2064,43.6157,"American, Seafood, Steak",70,0,0,0,4,3.9,379
149,Bar Gernika Basque Pub & Eatery,Boise,-116.2031,43.614,"European, Spanish",10,0,0,0,1,4.3,303
150,Barbacoa Restaurant,Boise,-116.185034,43.597235,"Latin American, Steak",70,0,0,0,4,4.1,538
151,Big Jud's,Boise,-116.2062,43.5945,"American, Burger, Sandwich",10,0,0,0,1,4.2,334
152,Bittercreek Ale House,Boise,-116.2022,43.6167,"American, Bar Food",25,0,0,0,2,4.3,555
153,Boise Fry Company,Boise,-116.193409,43.610279,"American, Burger",10,0,0,0,1,4.4,823
154,Flying Pie Pizzaria,Boise,-116.2625,43.6192,Pizza,25,0,0,0,2,4.1,550
155,Fork,Boise,-116.202845,43.616295,"American, Burger",25,0,0,0,2,4.4,650
156,Guido's Original New York Style Pizza,Boise,-116.199,43.615,Pizza,10,0,0,0,1,4.3,410
157,Los Beto's,Boise,-116.2463,43.6191,Mexican,10,0,0,0,1,4.4,660
158,Lucianos Italian Restaurant,Boise,-116.245165,43.6051379,"Italian, Seafood, Vegetarian",25,0,0,0,2,4.4,360
159,Mai Thai Restaurant,Boise,-116.2021,43.6162,"Sushi, Thai",40,0,0,0,3,4.0,340
160,Shige Japanese Cuisine,Boise,-116.2031,43.6156,"Japanese, Sushi, Teriyaki",25,0,0,0,2,4.1,393
161,The Egg Factory,Boise,-116.281809,43.619274,Breakfast,10,0,0,0,1,4.3,422
162,Tucanos,Boise,-116.280614,43.591706,Brazilian,40,0,0,0,3,4.0,435
163,Texas Roadhouse,Boise,-116.347304,43.619108,"American, BBQ, Steak",25,0,0,0,2,4.0,369
164,Brick 29,Boise,-116.5629,43.5777,American,40,0,0,0,3,4.4,487
165,Winifreds,Cedar Rapids/Iowa City,-91.6336,42.0179,"American, Mediterranean, Seafood",40,0,0,0,3,3.7,98
166,Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,-91.6327,42.0281,"Italian, Pizza",40,0,0,0,3,4.1,365
167,El Super Burrito,Cedar Rapids/Iowa City,-91.7148,41.9748,Mexican,10,0,0,0,1,4.1,190
168,Granite City Food & Brewery,Cedar Rapids/Iowa City,-91.6224,42.0249,"American, Breakfast, Burger",40,0,0,0,3,4.1,429
169,Irish Democrat,Cedar Rapids/Iowa City,-91.6347,42.01,"American, BBQ, Burger",25,0,0,0,2,4.4,430
170,Taste of India,Cedar Rapids/Iowa City,-91.6499622,42.0215347,Indian,25,0,0,0,2,4.2,186
171,Thai Moon Restaurant,Cedar Rapids/Iowa City,-91.7266,41.9639,"Chinese, Sushi, Thai",10,0,0,0,1,4.2,220
172,Ting's Red Lantern,Cedar Rapids/Iowa City,-91.6394,42.0468,Chinese,10,0,0,0,1,4.2,347
173,Monica's,Cedar Rapids/Iowa City,-91.569767,41.670466,"American, Italian, Pizza",25,0,0,0,2,3.8,161
174,Exotic India,Cedar Rapids/Iowa City,-91.5687,41.6685,Indian,25,0,0,0,2,4.1,160
175,Shorts Burger and Shine,Cedar Rapids/Iowa City,-91.534424,41.660982,Burger,10,0,0,0,1,4.9,820
176,The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,-91.531414,41.663849,"American, Breakfast, Burger",10,0,0,0,1,4.5,488
177,Bluebird Diner,Cedar Rapids/Iowa City,-91.531093,41.663751,"Breakfast, Diner",25,0,0,0,2,3.6,253
178,Graze,Cedar Rapids/Iowa City,-91.534302,41.658691,"American, International, Sushi",40,0,0,0,3,3.8,220
179,A & A Pagliai's Pizza,Cedar Rapids/Iowa City,-91.5314,41.6648,Pizza,25,0,0,0,2,4.3,485
180,Atlas World Grill,Cedar Rapids/Iowa City,-91.5341,41.661,International,40,0,0,0,3,4.3,428
181,BlackStone,Cedar Rapids/Iowa City,-91.482165,41.667742,"American, Breakfast",25,0,0,0,2,4.1,294
182,Devotay,Cedar Rapids/Iowa City,-91.5318,41.6625,"Mediterranean, Tapas, Vegetarian",40,0,0,0,3,4.0,380
183,Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,-91.5074,41.6428,BBQ,25,0,0,0,2,4.2,259
184,Zoeys Pizzeria,Cedar Rapids/Iowa City,-91.5995,42.0331,"Pizza, Sandwich",25,0,0,0,2,4.7,433
185,Tokyo Sushi,Chatham-Kent,-82.188438,42.397683,"Japanese, Sushi",25,0,0,0,2,3.7,176
186,Berry Patch Restaurant,Clatskanie,-123.368151,46.126967,"American, Breakfast, Desserts",10,0,0,0,1,4.3,96
187,Sakura Sushi & Grill,Cochrane,-114.472474,51.183934,"Asian, Japanese",25,0,0,0,2,3.1,6
188,Uptown Vietnam cuisine,Columbus,-84.992671,32.470315,"Asian, Vietnamese",10,0,0,0,1,3.3,33
189,Cafe Le Rue @ The Landings,Columbus,-84.95591,32.519247,"American, Seafood, Cajun",25,0,0,0,2,4.6,489
190,Mark's City Grille,Columbus,-84.927047,32.555591,American,25,0,0,0,2,4.5,345
191,B Merrell's,Columbus,-84.9436,32.5577,"Burger, Bar Food, Southern",25,0,0,0,2,3.8,149
192,Cannon Brewpub,Columbus,-84.9936,32.4656,"Pizza, Bar Food",25,0,0,0,2,3.9,330
193,Fuji Japanese Steak House,Columbus,-84.954984,32.5382197,"Japanese, Steak",40,0,0,0,3,3.9,247
194,Ruth Ann's Family Restaurant,Columbus,-84.9876,32.4637,"Breakfast, Diner, Southern",10,0,0,0,1,3.7,123
195,Samurai Japanese Cuisine & Sushi Bar,Columbus,-84.9933631,32.4652417,"Japanese, Steak, Sushi",40,0,0,0,3,3.6,109
196,Wasabi Sushi and Thai,Columbus,-84.96661,32.534002,"Japanese, Sushi, Thai",40,0,0,0,3,3.7,134
197,Buckhead Bar and Grill,Columbus,-84.95367,32.513154,"Seafood, Steak, Vegetarian",40,0,0,0,3,4.2,722
198,Burt's Butcher Shoppe and Eatery,Columbus,-84.947569,32.504657,Steak,25,0,0,0,2,4.3,213
199,Chef Lee's Peking Restaurant,Columbus,-84.9607,32.5393,Chinese,25,0,0,0,2,4.0,335
200,Country's Barbecue,Columbus,-84.9464,32.4792,"BBQ, Southern",25,0,0,0,2,4.0,353
201,Deorio's,Columbus,-84.9427,32.481,"Italian, Pizza",0,0,0,0,1,4.0,170
202,Mellow Mushroom,Columbus,-84.9557,32.5321,Pizza,25,0,0,0,2,4.1,192
203,Meritage,Columbus,-84.992093,32.466158,"American, Tapas",40,0,0,0,3,4.1,302
204,Mongo The Mongolian Fire Pit,Columbus,-84.938698,32.560905,"Asian, Chinese",10,0,0,0,1,4.2,355
205,The Black Cow,Columbus,-84.991384,32.468757,American,25,0,0,0,2,4.3,287
206,Wood Stone,Columbus,-84.963201,32.527217,"Italian, Mediterranean, Pizza",40,0,0,0,3,4.0,264
207,Hunter's Pub,Columbus,-85.0213,32.7455,"American, Seafood, Steak",40,0,0,0,3,4.4,235
208,Consort Restaurant,Consort,-110.7746994,52.0082889,"Chinese, Canadian",25,0,0,0,2,3.0,6
209,Thatcher's Barbeque and Grill,Dalton,-84.9396931,34.5251331,"American, BBQ, Southern",25,0,0,0,2,3.7,38
210,Christian and Jake's Bistro,Dalton,-84.926258,34.474635,"Desserts, Sandwich",10,0,0,0,1,4.4,122
211,Dub's High on the Hog,Dalton,-84.9523921,34.4972488,BBQ,25,0,0,0,2,4.4,207
212,Sierra's Mexican Restaurant,Dalton,-84.767911,34.752476,"Mexican, Tex-Mex",10,0,0,0,1,3.9,66
213,Oakwood Cafe,Dalton,-84.969393,34.769686,"BBQ, Breakfast, Southern",10,0,0,0,1,4.9,249
214,Chili's Grill & Bar,Dalton,-85.0039,34.7643,American,25,0,0,0,2,3.8,63
215,Fuji Japanese Steakhouse,Dalton,-84.992342,34.759551,"Japanese, Sushi",40,0,0,0,3,3.8,145
216,Las Palmas,Dalton,-84.992924,34.759665,Mexican,10,0,0,0,1,3.8,83
217,Tony's Italian Restaurant & Pizza,Dalton,-84.999678,34.758645,Italian,25,0,0,0,2,3.7,116
218,Filling Station,Dalton,-84.9678,34.7742,"American, Burger",10,0,0,0,1,4.1,122
219,Five Guys Burgers and Fries,Dalton,-84.990925,34.759273,Fast Food,10,0,0,0,1,4.1,142
220,Los Pablos,Dalton,-84.9964,34.7604,Mexican,10,0,0,0,1,4.1,114
221,Kobe Hibachi & Sushi,Dalton,-85.2229101,34.9428786,"American, Japanese, Sushi",25,0,0,0,2,4.6,214
222,Soho Hibachi,Dalton,-85.246237,34.9528157,Japanese,10,0,0,0,1,4.3,116
223,Thai Garden,Dalton,-85.2545,34.9546,Thai,25,0,0,0,2,4.2,111
224,Southern Bliss Bakery,Dalton,-85.294955,34.705093,"Desserts, Sandwich",10,0,0,0,1,3.7,25
225,Bailey's Bar-B-Que,Dalton,-85.1321,34.9273,BBQ,10,0,0,0,1,4.1,128
226,Farm To Fork,Dalton,-85.130492,34.912109,"American, Diner, Southern",10,0,0,0,1,4.3,244
227,Home Plate Grill,Dalton,-85.1079396,34.9151853,"American, BBQ, Southern",10,0,0,0,1,4.2,112
228,Pie Slingers Pizzeria,Dalton,-85.249727,34.851907,"Italian, Pizza",10,0,0,0,1,4.1,144
229,Olive Tree Cafe,Davenport,-90.496986,41.574935,"Indian, Mediterranean, Middle Eastern",25,0,0,0,2,4.6,166
230,"Red Ginger Sushi, Grill & Bar",Davenport,-90.522479,41.53845,"Sushi, Teriyaki",40,0,0,0,3,4.5,208
231,Crust Stone Oven Pizza,Davenport,-90.4912446,41.5747801,"Burger, Pizza",25,0,0,0,2,3.9,136
232,Jimmy's Pancake House,Davenport,-90.504176,41.548746,"American, Breakfast, Greek",10,0,0,0,1,4.0,85
233,Trattoria Tiramisu,Davenport,-90.50709,41.525384,Italian,25,0,0,0,2,4.1,117
234,Prairie Grille at SteepleGate Inn,Davenport,-90.574088,41.593892,"American, Breakfast",25,0,0,0,2,3.4,53
235,Tantra Asian Bistro,Davenport,-90.565837,41.574459,Asian,25,0,0,0,2,4.9,474
236,Chick-fil-A,Davenport,-90.5716,41.5604,Fast Food,10,0,0,0,1,3.9,125
237,Duck City Bistro,Davenport,-90.5737,41.5223,"American, French",70,0,0,0,4,3.7,201
238,Frick's Tap,Davenport,-90.59466452,41.52253634,"American, Bar Food, BBQ",25,0,0,0,2,0.0,2
239,Los Agaves,Davenport,-90.5154313,41.5709434,Mexican,25,0,0,0,2,0.0,3
240,Azteca,Davenport,-90.5683,41.5699,Mexican,0,0,0,0,1,4.3,167
241,China Cafe,Davenport,-90.5321,41.5749,Chinese,25,0,0,0,2,4.0,112
242,Exotic Thai Restaurant,Davenport,-90.5432,41.5747,Thai,25,0,0,0,2,4.1,256
243,Front Street Brewery,Davenport,-90.572418,41.520389,American,10,0,0,0,1,4.3,123
244,Granite City Food & Brewery,Davenport,-90.5137,41.5745,American,25,0,0,0,2,4.0,199
